# link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj
1.0,1.0,3.0,-1.0,-1.0,1.0,5856.0,247803.953125,1.0,1.0
2.0,1.0,4.0,-1.0,-1.0,1.0,29450.0,559032.8125,1.0,1.0
3.0,2.0,4.0,-1.0,-1.0,1.0,31491.0,928023.375,1.0,1.0
4.0,2.0,5.0,-1.0,-1.0,1.0,19719.0,1737740.0,1.0,1.0
5.0,3.0,4.0,-1.0,-1.0,1.0,35133.0,749688.75,1.0,0.0
6.0,4.0,5.0,-1.0,-1.0,1.0,14275.0,1348383.0,1.0,1.0
# Linkage Mapper Version 1.0.9
# ---Run Settings---
# Project Directory: C:\Dropbox\LM_Lab_2015\Secret\Results\Project_5Cores_Restored
